text,timestamp,likes,retweets
"I carry the @NICKIMINAJ #GagCityMilano flag with pride 🇮🇹🫡

I made this flag with @fendiminaj_it @NICKIM5_ @_mr_minaj for all the Italian barbz 💘

#GagCity #PinkFriday2 https://t.co/RrqWGJQynK",Wed Jul 03 14:32:51 +0000 2024,648,154
"No hype needed. 

Setting the standard in Texas. 

#NFLAggies #ItsAboutUs https://t.co/uUDsp6IrI9",Thu Apr 28 00:59:24 +0000 2016,211,100
"We wanted to hook up some members of the #NRGFam with some merch courtesy of our friends at @BlockFi 🔥

All you have to do is 👇

🎉 Follow @NRGgg + @BlockFi 
💞 RT + Like
👉 Check out https://t.co/hdo2EqpKg4 https://t.co/m5mNl8Lt4z",Fri Feb 05 23:35:38 +0000 2021,341,85
"COOP with the SACK ‼️

📺: #GBvsTEN on FOX
📱:  https://t.co/jayJjU6rVr

#GigEm | #NFLAggies x @edgerrincooper1 https://t.co/bdZqoYcZ6r",Sun Sep 22 19:49:47 +0000 2024,375,26
"Omg y'all the new hashflags. They're so cute. Jaebeom made them apparently. 
#JYPE🚚 #DELETE🚚 #VroomVroomMuthafucka🚚 #JYPEISOVERPARTY🚚 #BeepBeep🚚 #ComeAndGetIt_Truckimmida🚚 #GOT7🚚",Tue Jun 30 21:01:21 +0000 2020,386,168
Wow. Had no idea. 👀 #NFLAggies #GigEm,Tue Oct 24 18:25:16 +0000 2023,0,0
"Nice NiP SWAG from @neo_stalnacke! (｡◕‿‿◕｡)

Want to get featured? 
Post a photo of your NiP gear using hashtag #GONINJAS on Social Media! https://t.co/NLM9HtZEGI",Sun Aug 13 11:04:02 +0000 2017,83,4
"Your #NFLAggies lineup for the rest of week 3 ⤵️

#GigEm https://t.co/lZ7eMlMJIx",Sun Sep 22 15:00:02 +0000 2024,119,8
.@NICKIMINAJ wears the complete outfit (including the sleeves) for the first night of #GagCityAtlanta. 💖 https://t.co/tKrI4A55uH,Thu Mar 21 02:32:13 +0000 2024,1556,140
"How 'bout some @ffvmousvon_ for your timeline. 🏃‍♂️💨💨💨

#NFLAggies x #GigEm https://t.co/13chTnTdaM",Thu Jun 06 23:17:00 +0000 2024,354,30
"📷 Rookie Mini-Camps

Some of our new #NFLAggies beginning their careers.

#WHOSNEXT https://t.co/7EeCHCPyx6",Thu May 12 22:06:34 +0000 2016,101,41
"We’re excited to finally launch our merch store🤩

Now you can wear @TeamNigma’s colors with your very own custom tag!

🔗https://t.co/Zyh18kGGcZ

#StarsAlign #NigmaMerch https://t.co/YTsJtqtbIr",Fri Aug 14 13:12:04 +0000 2020,1361,205
ENIGMA MERCH DESIGNED BY ME! 💚 Thank you @LadyGagaNowNet &amp; SpaceNeil for this opportunity! ⭐️BUY YOURS HERE: https://t.co/9KS6prsTzX ⭐️ https://t.co/i1R5UFahkg,Tue Jan 22 19:29:49 +0000 2019,618,79
"🎉 #NFTGiveaway 🎉

We're giving away 1 NFT with @OfficialGigz 
✅To enter
1⃣Follow @OfficialGigz  &amp; @RefNFT
2⃣RT + ❤
3⃣ Tag 2 friends
Join Discord here: https://t.co/phMGMjsl4f

⏳ the winner will be announced in 24 Hours ⏳

#NFT #NFTGiveaways #ETH  #PolygonNFT https://t.co/EQTwcj9asw",Fri Jan 14 13:49:20 +0000 2022,219,211
These came out so well....I’m emotional!! It’s surreal seeing my work on these badges 😭♥️ https://t.co/2lW4u5zuVS,Thu Jan 17 21:30:17 +0000 2019,512,29
"Every season, without fail... one of the most famous Aggie Traditions: #GigEm https://t.co/GpMiFNcxUn",Fri Aug 31 01:45:58 +0000 2018,218,39
[Exclusive] Promotional material in anticipation of Texas A&amp;M's upcoming nat'l title—fulfilling the destiny of the 20XX trophy: #GigEm https://t.co/ar3KFegWsm,Thu Mar 01 00:19:04 +0000 2018,381,93
"Back on the grind! 

Live all day! Bubble Gum @GFuelEnergy dropped yesterday &amp; we're thinkin’ about what our flavor should be. Hit me with some ideas &amp; use that code ‘MFAM’! 🤝

https://t.co/Etk8WeG3Wa
#MFAM | #GFUEL 

 https://t.co/TrTk1ZZWKU",Thu May 07 18:34:36 +0000 2020,1628,69
RED WIG WIT EM FENDI PRINTS AWN @NICKIMINAJ #GagCity #GagCitySanAntonio ♥️🛸🤠 https://t.co/ENqM0wfSLw,Fri Sep 20 04:20:05 +0000 2024,25,1
"Put the Nation on notice. 

Whether from the East, West, North, or South, the whole country now knows about #GigEmGang17.

#ItsAboutUs https://t.co/0lBUzYdNeH",Wed Feb 01 23:27:59 +0000 2017,283,108
".@Patriots fans, meet @d_robinson78. 👍

#NFLAggies #GigEm https://t.co/Op5f4OrKDP",Sat Apr 27 16:35:41 +0000 2024,204,22
"Good luck to all of our #NFLAggies this season! 👍

#GigEm | @NFL https://t.co/yMudmIesa1",Thu Sep 05 21:19:25 +0000 2024,752,73
"Free Shirt Giveaway! 

RT &amp; Follow to enter to win the #LFGM shirt of your choice! Winner announced tomorrow. Save 15% on any t-shirt with code SHIRT15 at checkout.

https://t.co/NArTa1LM2g https://t.co/juuPiXNMHU",Tue Mar 26 23:07:18 +0000 2024,319,533
"All Black ✅
Double Trouble 😤

Which outfit are you rockin' with? 

25x Discord Invites ✨

1️⃣ Follow @nft_gimme 
2️⃣ Like &amp; RT this post! 
3️⃣ Tag 3 or more frens! 

⏰24 hrs!

#NFTCommunity #NFTGiveaway https://t.co/qhyDMMWoww",Wed Sep 14 14:29:00 +0000 2022,159,129
"LETS GOOOOOO @J_Rey_11 👏👏👏

#GigEm x #NFLAggies",Wed Mar 27 18:09:59 +0000 2024,38,1
#NRGFAM GOING CRAZY!EVERYTHING’S GOING REALLY QUICK IF YOUR SIZE AND STYLE IS SOLD OUT CHECK BACK IN 15 OR 30 MIN CALLING MANUFACTURERS NOW TO TRY TO GET MORE!!!,Fri Aug 21 21:44:32 +0000 2020,1089,13
"#TBT x #NFLAggies 👍

#GigEm https://t.co/JuQdf6cXqG",Thu Sep 19 20:51:46 +0000 2024,231,8
"YESSIR @edgerrincooper1 👏🏻 

#GigEm x #NFLAggies https://t.co/9RD8LfqAnl",Fri May 24 21:34:51 +0000 2024,92,1
