text,timestamp,likes,retweets
"🗣 SAW. EM. OFF!

Texas A&amp;M takes down #5 Texas 2-0 at Olsen Field 👍 #GigEm https://t.co/YtRn3rflta",Wed Mar 31 01:36:51 +0000 2021,3048,655
Texas A&amp;M 20 BG 17 Refs 3,Sun Sep 22 02:20:38 +0000 2024,60,6
"UT is in Austin (the Texas capital &amp; obviously very liberal), and has a much more international student body than your typical public university. Being in an already established big city that is well-known and desirable outside of having a university there def influences the",Mon Sep 23 20:51:37 +0000 2024,1,0
Lucas Strawn (‘28 TX) living low-80s T84 with late life from an ultra quick arm. Slider @ 70-71 with tight late biting tilt as a true s/m pitch. Could kill spin on the change as well with fade. Projectable with stuff that will play. #SouthFall https://t.co/7yWQRRApdj,Sun Sep 22 13:44:20 +0000 2024,16,5
The @kubota_usa Country Roads takes us to Texas A&amp;M Commerce as Gainesville didn't have enough firepower to handle @fb_henderson as the Lions won it 62-6. #txhsfb https://t.co/iCFXiEGe70,Mon Sep 23 19:00:50 +0000 2024,2,0
"🚨DEVELOPING: Evacuation order issued in Texas after a gas pipeline burst into flames. The fire started just before 10 a.m. in La Porte, Texas, about 25 miles southwest of Houston. Energy Transfer confirmed it was a natural gas line and has isolated it to let the fire burn out. https://t.co/7RgDQYxBZr",Mon Sep 16 19:28:06 +0000 2024,9,15
"Ole Miss added a pair of defenders through the portal this offseason. Florida transfer, DE Princely Umanmielen (6040v, 255v, 3400v) @d1princely and Texas A&amp;M transfer, Walter Nolan (6040e, 290e) @WalterNolen4. Both have the ability to be IMPACT players at the next level. https://t.co/QjtZZVTayt",Sat Sep 14 23:13:33 +0000 2024,26,2
"Throwback to the showdown between Chennedy Carter vs Arike Ogunbowale 

Texas A&amp;M vs Notre Dame NCAA Sweet 16 2019 https://t.co/PFWjPxzS8v",Fri Sep 20 16:06:27 +0000 2024,4203,682
The Texas A&amp;M Board of Regents votes unanimously to authorize President Michael Young to finalize a contract with Jimbo Fisher. https://t.co/2wZHrn2wt3,Mon Dec 04 15:24:11 +0000 2017,194,40
"Final

Texas A&amp;M 26
Bowling Green 20",Sun Sep 22 02:55:07 +0000 2024,9,0
"The OU offense got dismantled on the @JoelKlattShow 

""I'm watching this and I'm like man this is as poor of an offensive film as I've watched in a long time. Certainly in the last 4-5 years, maybe in my entire career...this will not be fixed with Michael Hawkins as your QB"" https://t.co/VTlaXGAzCm",Mon Sep 23 18:42:38 +0000 2024,10,0
"Texas Top 5 Finishes in Football since 2010: 0

Texas A&amp;M Top 5 Finishes in Football since 2010: 2 https://t.co/7bYkUkoFkq",Thu Feb 24 15:38:01 +0000 2022,398,20
"Texas A&amp;M | Horns - Flare elevator

Horns Playbook Link:
https://t.co/ydmr5gnmxA

Animate your plays with this link: https://t.co/22SX50Rc2f https://t.co/Mgp8Ksf3jy",Fri Sep 20 21:28:24 +0000 2024,184,29
A&amp;M Commit @kelshaunj8 🔥🔥🔥🔥 @AggieFootball #ElkoEra https://t.co/jBLi0crCTz,Sat Sep 21 02:48:59 +0000 2024,291,11
"Hey @SportsCenter, we’ve got a Top Play nominee for you courtesy of @BadgerVB!

#7 Wisconsin up 2-0 on Texas A&amp;M at the Fieldhouse.

LISTEN LIVE on 100.5 ESPN, 94.5 @ESPNMilwaukee, 1430 @ESPNbd, and Wisconsin On Demand! 🏐 https://t.co/9sn6M2FZxe",Sun Sep 22 01:35:06 +0000 2024,129,10
"Cards Against Humanity (@cah) is suing Elon Musk over a land dispute in Texas, and I'm a partial owner of that land. 🤣 Amazing. I'm going to be part of a lawsuit against Elon Musk/SpaceX. https://t.co/KyMJd0ufNq",Fri Sep 20 17:30:11 +0000 2024,3711,501
"A&amp;M is in a dog fight with Bowling green 

And the fans still can’t stop talking about Texas 😂😭 https://t.co/OagiLgYKZ0",Sun Sep 22 01:50:53 +0000 2024,227,7
Florida seeing Texas A&amp;M’s backup QB carve them to pieces https://t.co/ziEQSsWZE8,Sat Sep 14 20:21:58 +0000 2024,210,14
"“I don’t care how people get here, I’m just glad they’re here,” @MirandaLambert said about country music finding new audiences. 🌟

Watch her exclusive Q&amp;A with #BillboardNews: https://t.co/rLxGUGbBSe https://t.co/m7hsIvbj7Y",Fri Sep 20 16:03:26 +0000 2024,185,29
"BG is on the board with a 33-yard field goal from Jackson Kleather!

BG - 3
Texas A&amp;M - 7

13:35 left in the 2nd quarter.",Sun Sep 22 00:19:22 +0000 2024,63,6
"Immediately after joining the SEC, Texas A&amp;M claimed 2 National Titles &amp; 2 Conference Titles

National
• 1919 (computer poll 50 years later)
• 1927 (computer poll 85 years later)

Conference
• 1997 (lost game to Nebraska 54-15)
• 2010 (not even in Big 12 title game) https://t.co/YcfmPQlub3",Thu Jul 18 14:34:55 +0000 2024,499,68
"I am EXTREMELY excited and thrilled to announce my commitment to Texas A&amp;M. I want to thank everyone who has been with me throughout this process especially my parents, coaches, and the Aggie softball staff. @Trisha_Ford @RussHeffley @jeffharger @CoachELeyba @AsNat18UMadden https://t.co/RkFnsVKXSD",Mon Sep 23 17:20:15 +0000 2024,452,38
"""Six years, I got my PE degree, what the heck... them guys, they're going to win the spelling bee, I'll tell you that.""

Coach Pittman with a great answer this morning when asked about Texas A&amp;M Head Coach Mike Elko graduating from Penn 🤣🤣. #WPS https://t.co/FvNrwlPmjy",Mon Sep 23 19:11:12 +0000 2024,176,7
"Didn’t catch this during the game: Texas A&amp;M OL TJ Shanahan, who was arrested earlier this month, appeared to do a handcuff celebration on this TD. https://t.co/GTl4lCOblC",Thu Sep 19 00:52:14 +0000 2024,446,11
"A&amp;M has been in the league for 12 years, while Texas just got picked to make the SEC title game in year 1 lol https://t.co/OwmoAeUaSa",Fri Jul 19 16:24:11 +0000 2024,743,56
There’s no place like Kyle Field! https://t.co/EjSWN25SsT,Sun Sep 22 02:45:43 +0000 2024,571,30
"'Texas A&amp;M will be a top 10 team,' according to Bowling Green head coach Scott Loeffler https://t.co/pxv7968gLb https://t.co/oY2ujwgmRg",Sun Sep 22 17:00:24 +0000 2024,0,0
"I’m Morgan LaMantia, a South Texas Senator who’s fighting for you, and of course, I’m proud to be from the 956! 🌴 https://t.co/bsm0VI9sSN",Mon Sep 23 14:00:50 +0000 2024,6,1
"SEC Nation is back in Gainesville

Despite the #Gators loss to Miami, the crew remains high on the Orange and Blue

All but one picked Florida to defeat Texas A&amp;M

The one?

UF legend Emmitt Smith, who said he couldn’t pick against his own blood

Smith’s son — EJ — is a RB at A&amp;M https://t.co/tAfPKFKInv",Sat Sep 14 16:10:08 +0000 2024,1000,31
"Don’t let Texas A&amp;M earning their 1st Top 4 Finish in the 3 major sports in 80+ years distract you from the fact that The University of Texas is, always has been and always will be the Flagship university in the state of Texas. #WRTS

#AggieFactThursday 😎
#ThisIsTexas #HookEm 🤘🏽 https://t.co/dJ18QXYy8W",Thu Jan 14 21:57:08 +0000 2021,442,51
"ATTENTION @_delconte @RossBjorkAD! 

Here is a tentative Texas/Texas A&amp;M Schedule:

9/04/27 - Austin, TX
9/09/28 - College Station, TX
9/08/29 - Austin, TX
8/31/30 - College Station, TX
8/30/31 - Austin, TX
9/04/32 - College Station, TX

#ReinstatetheHate
#ThisIsTexas #HookEm 🤘🏽 https://t.co/tFpNz2Qn7v",Sun May 03 19:43:18 +0000 2020,531,75
"What do you think the announcement will be?

A reel was just shared on the official Topps account showing a meteor hitting right outside @BoomtownCards in San Antonio, Texas, leaving a M imprint. https://t.co/Cs9IkMcoMU",Tue Sep 17 13:31:59 +0000 2024,8,0
"BREAKING: SMASH WILLIAMS SE COMPROMETE CON TEXAS A&amp;M.

'The Smash', RB 5⭐ de los Panthers de Dillon (TX), anunció hoy su compromiso con los Aggies de Texas A&amp;M.

Suscríbete GRATIS para seguir su historia en el Road To Glory de College Football 25: https://t.co/rRvdLfoelH

#GigEm https://t.co/fHnAsT7xNh",Mon Sep 23 20:08:13 +0000 2024,7,4
".@DallasPatriots 2025’s Marcus White (@M_White45) pulls this one down the line for a 2-run double.

Mansfield Lake Ridge (TX) 2025 #uncommitted

Profile: https://t.co/PDLPS8e9yv https://t.co/7xYpfHLLme",Sat Sep 14 15:48:12 +0000 2024,7,4
"No. 1 not done yet!

Texas rallies from four down to beat Texas A&amp;M 9-8 to force a decisive Game 3 tomorrow 👀 https://t.co/RkG8HhFEnF",Sun May 26 00:54:39 +0000 2024,1229,86
(18) TEXAS A&amp;M https://t.co/JMnvkyZV2B,Mon Sep 23 19:46:00 +0000 2024,4,1
"Many fans are calling for Florida to cut ties with Billy Napier following the team’s loss to Texas A&amp;M.

Joe Lisi (@GOFORTHE2) says the Gators need to beat Mississippi State this weekend if Napier wants to keep his job.

More in today’s show » https://t.co/6TUO0wZ1KT https://t.co/NxKAbUujya",Tue Sep 17 18:01:00 +0000 2024,11,2
